2024-12-18 11:08:06.865 INFO  (qtp1792384402-81-localhost-5) [c: s: r: x:babysitter_core t:localhost-5] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={commit=true}{add=[fae383ca-76f1-4048-a19d-749dfb197001 (1818776134389596160), 6973a6d0-25e3-4975-96f4-8973926f9f4e (1818776134418956288), df0c50ed-4368-4368-85bc-bfc0a2f399f9 (1818776134420004864), 0ae0855c-7072-4393-b995-6aea1ff1817b (1818776134421053440), 8f5e583d-7057-4dbe-8026-a07779811ba0 (1818776134421053441), a2aaba01-f7b9-497e-95f6-d8c0c3d6f4fd (1818776134422102016), a6120389-7aef-4664-8071-f2e41a484d8c (1818776134422102017), 62ab7215-1b01-4c35-851f-4d60b56351dd (1818776134423150592), 1d0961bb-3e53-4fe9-9b2b-09dbad28ae67 (1818776134424199168), e1bfce25-f7d6-45b8-b5e9-33ecdff32e6b (1818776134424199169), ... (249 adds)], commit=} 0 215
2024-12-18 11:08:15.430 INFO  (qtp1792384402-50-localhost-6) [c: s: r: x:babysitter_core t:localhost-6] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=45
2024-12-18 11:08:15.478 INFO  (qtp1792384402-47-localhost-7) [c: s: r: x:babysitter_core t:localhost-7] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=12
2024-12-18 11:08:15.498 INFO  (qtp1792384402-82-localhost-8) [c: s: r: x:babysitter_core t:localhost-8] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[29+TO+35]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=17 status=0 QTime=11
2024-12-18 11:08:18.039 INFO  (qtp1792384402-47-localhost-9) [c: s: r: x:babysitter_core t:localhost-9] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=11
2024-12-18 11:08:18.057 INFO  (qtp1792384402-82-localhost-10) [c: s: r: x:babysitter_core t:localhost-10] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=8
2024-12-18 11:08:18.069 INFO  (qtp1792384402-47-localhost-11) [c: s: r: x:babysitter_core t:localhost-11] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=2
2024-12-18 11:08:19.601 INFO  (qtp1792384402-82-localhost-12) [c: s: r: x:babysitter_core t:localhost-12] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=5
2024-12-18 11:08:19.612 INFO  (qtp1792384402-47-localhost-13) [c: s: r: x:babysitter_core t:localhost-13] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=5
2024-12-18 11:08:19.618 INFO  (qtp1792384402-82-localhost-14) [c: s: r: x:babysitter_core t:localhost-14] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=0
